,week,gameday,weekday,gametime,away_team,home_team,roof,surface,game_id
6706,1,9/5/2024,Thursday,20:20,BAL,KC,outdoors,grass,2024_01_BAL_KC
6707,1,9/6/2024,Friday,20:15,GB,PHI,outdoors,fieldturf,2024_01_GB_PHI
6708,1,9/8/2024,Sunday,13:00,PIT,ATL,closed,fieldturf,2024_01_PIT_ATL
6709,1,9/8/2024,Sunday,13:00,ARI,BUF,outdoors,a_turf,2024_01_ARI_BUF
6710,1,9/8/2024,Sunday,13:00,TEN,CHI,outdoors,grass,2024_01_TEN_CHI
6711,1,9/8/2024,Sunday,13:00,NE,CIN,outdoors,fieldturf,2024_01_NE_CIN
6712,1,9/8/2024,Sunday,13:00,HOU,IND,closed,fieldturf,2024_01_HOU_IND
6713,1,9/8/2024,Sunday,13:00,JAX,MIA,outdoors,grass,2024_01_JAX_MIA
6714,1,9/8/2024,Sunday,13:00,CAR,NO,dome,sportturf,2024_01_CAR_NO
6715,1,9/8/2024,Sunday,13:00,MIN,NYG,outdoors,fieldturf,2024_01_MIN_NYG
6716,1,9/8/2024,Sunday,16:05,LV,LAC,dome,matrixturf,2024_01_LV_LAC
6717,1,9/8/2024,Sunday,16:05,DEN,SEA,outdoors,fieldturf,2024_01_DEN_SEA
6718,1,9/8/2024,Sunday,16:25,DAL,CLE,outdoors,grass,2024_01_DAL_CLE
6719,1,9/8/2024,Sunday,16:25,WAS,TB,outdoors,grass,2024_01_WAS_TB
6720,1,9/8/2024,Sunday,20:20,LA,DET,dome,fieldturf,2024_01_LA_DET
6721,1,9/9/2024,Monday,20:15,NYJ,SF,outdoors,grass,2024_01_NYJ_SF
6722,2,9/12/2024,Thursday,20:15,BUF,MIA,outdoors,grass,2024_02_BUF_MIA
6723,2,9/15/2024,Sunday,13:00,LV,BAL,outdoors,grass,2024_02_LV_BAL
6724,2,9/15/2024,Sunday,13:00,LAC,CAR,outdoors,grass,2024_02_LAC_CAR
6725,2,9/15/2024,Sunday,13:00,NO,DAL,closed,matrixturf,2024_02_NO_DAL
6726,2,9/15/2024,Sunday,13:00,TB,DET,dome,fieldturf,2024_02_TB_DET
6727,2,9/15/2024,Sunday,13:00,IND,GB,outdoors,grass,2024_02_IND_GB
6728,2,9/15/2024,Sunday,13:00,CLE,JAX,outdoors,grass,2024_02_CLE_JAX
6729,2,9/15/2024,Sunday,13:00,SF,MIN,dome,sportturf,2024_02_SF_MIN
6730,2,9/15/2024,Sunday,13:00,SEA,NE,outdoors,fieldturf,2024_02_SEA_NE
6731,2,9/15/2024,Sunday,13:00,NYJ,TEN,outdoors,grass,2024_02_NYJ_TEN
6732,2,9/15/2024,Sunday,13:00,NYG,WAS,outdoors,grass,2024_02_NYG_WAS
6733,2,9/15/2024,Sunday,16:05,LA,ARI,closed,grass,2024_02_LA_ARI
6734,2,9/15/2024,Sunday,16:25,PIT,DEN,outdoors,grass,2024_02_PIT_DEN
6735,2,9/15/2024,Sunday,16:25,CIN,KC,outdoors,grass,2024_02_CIN_KC
6736,2,9/15/2024,Sunday,20:20,CHI,HOU,closed,astroturf,2024_02_CHI_HOU
6737,2,9/16/2024,Monday,20:15,ATL,PHI,outdoors,grass,2024_02_ATL_PHI
6738,3,9/19/2024,Thursday,20:15,NE,NYJ,outdoors,fieldturf,2024_03_NE_NYJ
6739,3,9/22/2024,Sunday,13:00,NYG,CLE,outdoors,grass,2024_03_NYG_CLE
6740,3,9/22/2024,Sunday,13:00,CHI,IND,closed,fieldturf,2024_03_CHI_IND
6741,3,9/22/2024,Sunday,13:00,HOU,MIN,dome,sportturf,2024_03_HOU_MIN
6742,3,9/22/2024,Sunday,13:00,PHI,NO,dome,sportturf,2024_03_PHI_NO
6743,3,9/22/2024,Sunday,13:00,LAC,PIT,outdoors,grass,2024_03_LAC_PIT
6744,3,9/22/2024,Sunday,13:00,DEN,TB,outdoors,grass,2024_03_DEN_TB
6745,3,9/22/2024,Sunday,13:00,GB,TEN,outdoors,grass,2024_03_GB_TEN
6746,3,9/22/2024,Sunday,16:05,CAR,LV,dome,grass,2024_03_CAR_LV
6747,3,9/22/2024,Sunday,16:05,MIA,SEA,outdoors,fieldturf,2024_03_MIA_SEA
6748,3,9/22/2024,Sunday,16:25,DET,ARI,closed,grass,2024_03_DET_ARI
6749,3,9/22/2024,Sunday,16:25,BAL,DAL,closed,matrixturf,2024_03_BAL_DAL
6750,3,9/22/2024,Sunday,16:25,SF,LA,dome,matrixturf,2024_03_SF_LA
6751,3,9/22/2024,Sunday,20:20,KC,ATL,closed,fieldturf,2024_03_KC_ATL
6752,3,9/23/2024,Monday,19:30,JAX,BUF,outdoors,a_turf,2024_03_JAX_BUF
6753,3,9/23/2024,Monday,20:15,WAS,CIN,outdoors,fieldturf,2024_03_WAS_CIN
6754,4,9/26/2024,Thursday,20:15,DAL,NYG,outdoors,fieldturf,2024_04_DAL_NYG
6755,4,9/29/2024,Sunday,13:00,NO,ATL,closed,fieldturf,2024_04_NO_ATL
6756,4,9/29/2024,Sunday,13:00,CIN,CAR,outdoors,grass,2024_04_CIN_CAR
6757,4,9/29/2024,Sunday,13:00,LA,CHI,outdoors,grass,2024_04_LA_CHI
6758,4,9/29/2024,Sunday,13:00,MIN,GB,outdoors,grass,2024_04_MIN_GB
6759,4,9/29/2024,Sunday,13:00,JAX,HOU,closed,astroturf,2024_04_JAX_HOU
6760,4,9/29/2024,Sunday,13:00,PIT,IND,closed,fieldturf,2024_04_PIT_IND
6761,4,9/29/2024,Sunday,13:00,DEN,NYJ,outdoors,fieldturf,2024_04_DEN_NYJ
6762,4,9/29/2024,Sunday,13:00,PHI,TB,outdoors,grass,2024_04_PHI_TB
6763,4,9/29/2024,Sunday,16:05,WAS,ARI,closed,grass,2024_04_WAS_ARI
6764,4,9/29/2024,Sunday,16:05,NE,SF,outdoors,grass,2024_04_NE_SF
6765,4,9/29/2024,Sunday,16:25,KC,LAC,dome,matrixturf,2024_04_KC_LAC
6766,4,9/29/2024,Sunday,16:25,CLE,LV,dome,grass,2024_04_CLE_LV
6767,4,9/29/2024,Sunday,20:20,BUF,BAL,outdoors,grass,2024_04_BUF_BAL
6768,4,9/30/2024,Monday,19:30,TEN,MIA,outdoors,grass,2024_04_TEN_MIA
6769,4,9/30/2024,Monday,20:15,SEA,DET,dome,fieldturf,2024_04_SEA_DET
6770,5,10/3/2024,Thursday,20:15,TB,ATL,closed,fieldturf,2024_05_TB_ATL
6771,5,10/6/2024,Sunday,9:30,NYJ,MIN,outdoors,grass,2024_05_NYJ_MIN
6772,5,10/6/2024,Sunday,13:00,CAR,CHI,outdoors,grass,2024_05_CAR_CHI
6773,5,10/6/2024,Sunday,13:00,BAL,CIN,outdoors,fieldturf,2024_05_BAL_CIN
