,team,Record,Home Record,Away Record,ATS,OU
0,BAL,6 - 7,4 - 2,4 - 3,7 - 6 - 0,10 - 3 - 0
1,KC,7 - 6,7 - 0,5 - 1,4 - 9 - 0,6 - 7 - 0
2,GB,7 - 6,5 - 2,4 - 2,6 - 6 - 1,6 - 6 - 1
3,PHI,6 - 7,5 - 1,6 - 1,8 - 5 - 0,5 - 8 - 0
4,PIT,6 - 7,5 - 1,5 - 2,10 - 3 - 0,7 - 6 - 0
5,ATL,7 - 6,3 - 4,3 - 3,5 - 8 - 0,5 - 8 - 0
6,ARI,7 - 6,4 - 3,2 - 4,8 - 5 - 0,5 - 7 - 1
7,BUF,6 - 7,6 - 0,4 - 3,8 - 5 - 0,8 - 4 - 1
8,TEN,6 - 7,1 - 5,2 - 5,2 - 10 - 1,7 - 6 - 0
9,CHI,7 - 6,4 - 3,0 - 6,6 - 5 - 2,5 - 8 - 0
10,NE,6 - 7,1 - 5,2 - 5,5 - 7 - 1,8 - 5 - 0
11,CIN,6 - 7,1 - 5,4 - 3,7 - 6 - 0,9 - 4 - 0
12,HOU,6 - 7,4 - 2,4 - 3,5 - 7 - 1,4 - 8 - 1
13,IND,6 - 7,3 - 3,3 - 4,8 - 5 - 0,6 - 7 - 0
14,JAX,6 - 7,2 - 4,1 - 6,8 - 5 - 0,7 - 6 - 0
15,MIA,7 - 6,4 - 3,2 - 4,5 - 8 - 0,6 - 7 - 0
16,CAR,7 - 6,2 - 5,1 - 5,6 - 7 - 0,9 - 4 - 0
17,NO,7 - 6,3 - 4,2 - 4,5 - 8 - 0,7 - 6 - 0
18,MIN,7 - 6,6 - 1,5 - 1,8 - 4 - 1,5 - 8 - 0
19,NYG,7 - 6,0 - 7,2 - 4,4 - 9 - 0,4 - 9 - 0
20,LV,5 - 8,1 - 4,1 - 7,5 - 8 - 0,8 - 5 - 0
21,LAC,6 - 7,4 - 2,4 - 3,10 - 3 - 0,4 - 9 - 0
22,DEN,6 - 7,4 - 2,4 - 3,10 - 3 - 0,8 - 5 - 0
23,SEA,7 - 6,3 - 4,5 - 1,6 - 7 - 0,7 - 6 - 0
24,DAL,7 - 6,1 - 6,4 - 2,4 - 9 - 0,8 - 5 - 0
25,CLE,6 - 7,2 - 4,1 - 6,4 - 9 - 0,6 - 7 - 0
26,WAS,7 - 6,5 - 2,3 - 3,8 - 5 - 0,9 - 4 - 0
27,TB,7 - 6,3 - 4,4 - 2,8 - 5 - 0,8 - 5 - 0
28,LA,7 - 6,4 - 3,3 - 3,6 - 7 - 0,7 - 6 - 0
29,DET,7 - 6,6 - 1,6 - 0,9 - 3 - 1,6 - 6 - 1
30,NYJ,6 - 7,2 - 4,1 - 6,4 - 9 - 0,7 - 6 - 0
31,SF,7 - 6,4 - 3,2 - 4,5 - 8 - 0,7 - 5 - 1
